timestamp_utc,epoch_s,humidity_percent,temperature_c
2026-04-02T09:23:24.351009+00:00,1775121804.351,53,20.6
2026-04-02T09:23:25.355765+00:00,1775121805.356,53,20.6
2026-04-02T09:23:26.611161+00:00,1775121806.611,53,20.6
2026-04-02T09:23:27.615562+00:00,1775121807.616,53,20.6
2026-04-02T09:23:28.871363+00:00,1775121808.871,53,20.6
2026-04-02T09:23:29.877400+00:00,1775121809.877,53,20.6
2026-04-02T09:23:31.134209+00:00,1775121811.134,53,20.6
2026-04-02T09:23:32.139763+00:00,1775121812.140,53,20.6
2026-04-02T09:23:33.395276+00:00,1775121813.395,53,20.6
2026-04-02T09:23:34.401358+00:00,1775121814.401,53,20.6
2026-04-02T09:23:35.656134+00:00,1775121815.656,53,20.6
2026-04-02T09:23:36.659122+00:00,1775121816.659,53,20.6
2026-04-02T09:23:37.914241+00:00,1775121817.914,53,20.6
2026-04-02T09:23:38.918801+00:00,1775121818.919,53,20.6
2026-04-02T09:23:40.174976+00:00,1775121820.175,53,20.6
2026-04-02T09:23:41.178889+00:00,1775121821.179,53,20.7
2026-04-02T09:23:42.435134+00:00,1775121822.435,53,20.7
2026-04-02T09:23:43.439263+00:00,1775121823.439,53,20.7
2026-04-02T09:23:44.695073+00:00,1775121824.695,53,20.7
2026-04-02T09:23:45.699055+00:00,1775121825.699,53,20.6
2026-04-02T09:23:46.955177+00:00,1775121826.955,53,20.6
2026-04-02T09:23:47.959292+00:00,1775121827.959,53,20.6
2026-04-02T09:23:49.216860+00:00,1775121829.217,53,20.6
2026-04-02T09:23:50.220935+00:00,1775121830.221,53,20.6
2026-04-02T09:23:51.478077+00:00,1775121831.478,53,20.6
2026-04-02T09:23:52.483171+00:00,1775121832.483,53,20.6
2026-04-02T09:23:53.739960+00:00,1775121833.740,53,20.6
2026-04-02T09:23:54.744602+00:00,1775121834.745,53,20.6
2026-04-02T09:23:56.000823+00:00,1775121836.001,53,20.6
2026-04-02T09:23:57.004512+00:00,1775121837.005,53,20.6
2026-04-02T09:23:58.260216+00:00,1775121838.260,53,20.6
2026-04-02T09:23:59.264063+00:00,1775121839.264,53,20.6
2026-04-02T09:24:00.520285+00:00,1775121840.520,53,20.6
2026-04-02T09:24:01.524495+00:00,1775121841.525,53,20.6
2026-04-02T09:24:02.780322+00:00,1775121842.780,53,20.6
2026-04-02T09:24:03.784295+00:00,1775121843.784,53,20.6
2026-04-02T09:24:05.040428+00:00,1775121845.040,53,20.6
2026-04-02T09:24:06.044454+00:00,1775121846.044,53,20.6
2026-04-02T09:24:07.301995+00:00,1775121847.302,53,20.6
2026-04-02T09:24:08.306143+00:00,1775121848.306,53,20.6
2026-04-02T09:24:09.563531+00:00,1775121849.564,53,20.6
2026-04-02T09:24:10.566709+00:00,1775121850.567,53,20.6
2026-04-02T09:24:11.821789+00:00,1775121851.822,53,20.6
2026-04-02T09:24:12.827609+00:00,1775121852.828,53,20.6
2026-04-02T09:24:14.084569+00:00,1775121854.085,53,20.6
2026-04-02T09:24:15.088893+00:00,1775121855.089,53,20.6
2026-04-02T09:24:16.344549+00:00,1775121856.345,53,20.6
2026-04-02T09:24:17.348959+00:00,1775121857.349,53,20.6
2026-04-02T09:24:18.604173+00:00,1775121858.604,53,20.6
2026-04-02T09:24:19.608666+00:00,1775121859.609,53,20.6
2026-04-02T09:24:20.864371+00:00,1775121860.864,53,20.6
2026-04-02T09:24:21.869142+00:00,1775121861.869,53,20.6
2026-04-02T09:24:23.126546+00:00,1775121863.127,53,20.6
2026-04-02T09:24:24.130774+00:00,1775121864.131,53,20.6
2026-04-02T09:24:25.386400+00:00,1775121865.386,53,20.6
2026-04-02T09:24:26.391211+00:00,1775121866.391,53,20.6
2026-04-02T09:24:27.647959+00:00,1775121867.648,53,20.6
2026-04-02T09:24:28.653591+00:00,1775121868.654,53,20.6
2026-04-02T09:24:29.909176+00:00,1775121869.909,53,20.6
2026-04-02T09:24:30.914946+00:00,1775121870.915,53,20.6
2026-04-02T09:24:32.171849+00:00,1775121872.172,53,20.6
2026-04-02T09:24:33.176090+00:00,1775121873.176,53,20.6
2026-04-02T09:24:34.431709+00:00,1775121874.432,53,20.6
2026-04-02T09:24:35.436185+00:00,1775121875.436,53,20.6
2026-04-02T09:24:36.691432+00:00,1775121876.691,53,20.6
2026-04-02T09:24:37.695929+00:00,1775121877.696,53,20.6
2026-04-02T09:24:38.951639+00:00,1775121878.952,53,20.6
2026-04-02T09:24:39.956330+00:00,1775121879.956,53,20.6
2026-04-02T09:24:41.211714+00:00,1775121881.212,53,20.6
2026-04-02T09:24:42.215016+00:00,1775121882.215,53,20.6
2026-04-02T09:24:43.469551+00:00,1775121883.470,53,20.6
2026-04-02T09:24:44.473183+00:00,1775121884.473,53,20.6
2026-04-02T09:24:45.728517+00:00,1775121885.729,53,20.6
2026-04-02T09:24:46.734916+00:00,1775121886.735,53,20.6
2026-04-02T09:24:47.990619+00:00,1775121887.991,53,20.6
2026-04-02T09:24:48.996518+00:00,1775121888.997,53,20.6
2026-04-02T09:24:50.253386+00:00,1775121890.253,53,20.6
2026-04-02T09:24:51.258640+00:00,1775121891.259,53,20.6
2026-04-02T09:24:52.514617+00:00,1775121892.515,53,20.6
2026-04-02T09:24:53.519193+00:00,1775121893.519,53,20.6
2026-04-02T09:24:54.774444+00:00,1775121894.774,53,20.6
